Database,Keyword,Tags,Seed keyword,Page,Topic,Page type,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content reference 1,Content reference 2,Content reference 3,Content reference 4,Content reference 5,Content reference 6,Content reference 7,Content reference 8,Content reference 9,Content reference 10,Competitor on TOP 10 #1,Competitor on TOP 10 #2,Competitor on TOP 10 #3,Competitor on TOP 10 #4,Competitor on TOP 10 #5,Competitor on TOP 10 #6,Competitor on TOP 10 #7,Competitor on TOP 10 #8,Competitor on TOP 10 #9,Competitor on TOP 10 #10
au,carpenters in sydney,2,framing Carpenter,(non-clustered),2,2,260,36,3,0.62,0,Commercial,"Local Pack, Video, Related Searches","0.36,0.29,0.36,0.44,0.66,0.36,0.36,0.66,0.29,0.29,0.19,0.29",90,,,,,,,,,,,,,,,,,,,,
au,carpentry companies sydney,2,framing Carpenter,(non-clustered),2,2,140,38,6.72,0.73,126,Commercial,"Local Pack, Video, Related Searches","0.08,0.08,0.05,0.04,0.03,0.08,0.08,0.07,0.07,0.05,0.05,0.07",90,,,,,,,,,,,,,,,,,,,,
au,carpentry company sydney,2,framing Carpenter,(non-clustered),2,2,70,36,6.72,0.73,2460000,Commercial,"Related Searches, Local Pack, Image","0.04,0.04,0.04,0.00,0.04,0.80,0.80,1.00,0.66,0.52,0.23,0.23",90,,,,,,,,,,,,,,,,,,,,
au,carpentry companies in sydney,2,framing Carpenter,(non-clustered),2,2,50,35,6.72,0.73,2020000,Commercial,"Local Pack, Image, Related Searches","0.00,0.00,0.04,0.09,0.04,0.33,0.33,1.00,0.23,0.23,0.33,0.23",90,,,,,,,,,,,,,,,,,,,,
au,deck builders,2,deck builder,(non-clustered),2,2,590,38,2.69,0.17,62100000,Commercial,"Image, Related Searches, Local Pack, Video","0.48,0.39,0.21,0.72,0.21,1.00,1.00,0.88,0.72,0.88,1.00,0.88",75,,,,,,,,,,,,,,,,,,,,
au,sydney deck builders,2,deck builder,(non-clustered),2,2,170,30,6.54,0.14,1280000,Commercial,"Image, People Also Ask, Related Searches, Local Pack","0.09,0.09,0.06,0.09,0.05,0.44,0.36,1.00,0.23,0.36,0.19,0.29",90,,,,,,,,,,,,,,,,,,,,
au,structural wall removal,2,structural wall removal,(non-clustered),2,2,260,20,3.03,0.44,114000000,Commercial,"Local Pack, Site Links, Video, Video Carousel, Related Searches, Discussions And Forums","0.43,0.53,0.66,1.00,0.53,1.00,0.82,1.00,0.53,0.43,0.53,0.53",20,,,,,,,,,,,,,,,,,,,,
au,cost to remove structural wall,2,structural wall removal,(non-clustered),2,2,20,0,1.75,0.33,0,2,2,"0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07",0,,,,,,,,,,,,,,,,,,,,
au,steel frame vs timber frame,2,timber framing,(non-clustered),2,2,140,5,0.27,0.09,68800000,"Informational, Commercial","Related Searches, Discussions And Forums, AI Overview, Site Links, Video, Video Carousel","0.43,0.43,0.23,0.17,0.28,0.43,0.43,0.43,0.28,0.28,0.17,0.23",20,,,,,,,,,,,,,,,,,,,,
au,deck builder in ryde,2,deck builder ryde,(non-clustered),2,2,0,0,0,0,0,2,2,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,timber decks builders chatswood,2,deck builder chatswood,(non-clustered),2,2,0,0,0,0,0,2,2,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,structural framing service,2,roof framing,(non-clustered),2,2,260,18,0,0,141,Informational,"Local Pack, Video, Related Searches, AI Overview","0.54,1.00,0.01,0.03,0.03,0.03,0.02",90,,,,,,,,,,,,,,,,,,,,
au,house frames,2,roof framing,(non-clustered),2,2,170,29,1.78,0.06,224,Informational,"Related Searches, Image Pack, Site Links, Video, Video Carousel, People Also Ask","0.23,0.19,0.15,0.19,0.19,0.23,0.10,0.19,0.23,0.19,0.19,0.23",20,,,,,,,,,,,,,,,,,,,,
au,house framing,2,roof framing,(non-clustered),2,2,170,14,2.38,0.08,168000000,Informational,"Image, Video Carousel, People Also Ask, Related Searches, AI Overview, Video","0.17,0.17,0.39,0.11,0.14,0.14,0.17,0.32,0.14,0.17,0.09,0.21",75,,,,,,,,,,,,,,,,,,,,
au,pergola builders sydney,2,Pergola Builder Sydney,(non-clustered),2,2,260,21,4.95,0.19,476000,Commercial,"Local Pack, Video, Related Searches","0.18,0.18,0.14,0.14,0.14,0.81,1.00,0.81,1.00,0.66,1.00,1.00",90,,,,,,,,,,,,,,,,,,,,
au,pergola builder sydney,2,Pergola Builder Sydney,(non-clustered),2,2,210,30,0,0.03,2340000,Commercial,"Local Pack, Video, Image, Related Searches","0.04,0.22,0.22,0.22,0.04,0.54,0.66,0.81,0.81,1.00,0.81,0.81",90,,,,,,,,,,,,,,,,,,,,
au,sydney pergola builders,2,Pergola Builder Sydney,(non-clustered),2,2,170,41,4.95,0.19,0,Commercial,"Image, Related Searches, Local Pack","0.53,0.80,0.65,0.65,0.34,0.65,0.80,0.80,0.80,0.65,0.65,0.65",90,,,,,,,,,,,,,,,,,,,,
au,deck and pergola builders sydney,2,Pergola Builder Sydney,(non-clustered),2,2,20,0,0,0,0,2,2,"0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",0,,,,,,,,,,,,,,,,,,,,
au,sydney pergola builder,2,Pergola Builder Sydney,(non-clustered),2,2,20,0,4.95,0.19,0,2,2,"0.40,0.40,0.20,0.40,0.20,0.80,1.00,0.60,0.40,0.20,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,pergolas builders sydney,2,Pergola Builder Sydney,(non-clustered),2,2,10,0,4.95,0.19,0,2,2,"0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.50,1.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,sydney pergolas builder,2,Pergola Builder Sydney,(non-clustered),2,2,10,0,0,0,0,2,2,"0.50,0.50,0.50,1.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,timber wall frames sydney,2,Timber Framing Sydney,(non-clustered),2,2,20,0,0,0,0,2,2,"0.40,0.40,0.40,0.40,0.40,1.00,0.40,0.20,0.20,0.40,0.40,0.20",0,,,,,,,,,,,,,,,,,,,,
au,timber framing sydney,2,Timber Framing Sydney,(non-clustered),2,2,20,0,0,0.95,0,2,2,"0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",0,,,,,,,,,,,,,,,,,,,,
